Address,Link,Bedrooms,Bathrooms,Parking,Area,Type,Suburb,Scraped Date,Days on Market,Asking Price
"107D/25 Herdsman Parade, Wembley",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-wembley-149214564,2,1,0,0,2,wembley,2025-10-02,,499000
"I11/125 Herdsman Parade, Wembley",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-wembley-148662272,2,1,1,59,2,wembley,2025-10-02,1,0
"47/11 Herdsman Parade, Wembley",https://www.realestate.com.auhttps://www.realestate.com.au/property-townhouse-wa-wembley-149163236,2,1,1,0,2,wembley,2025-10-02,1,0
"7/93 Herdsman Parade, Wembley",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-wembley-149187164,1,1,1,0,1,wembley,2025-10-02,1,349000
"Address available on request, Wembley",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-wembley-141144496,1,1,1,0,1,wembley,2025-10-02,1,0
"10/109 Weaponess Road, Wembley Downs",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-wembley+downs-149216140,2,1,1,0,2,wembley,2025-10-02,,0
"16/181 Oxford Street, Leederville",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-leederville-149199124,1,1,1,0,1,wembley,2025-10-02,1,400000
"13/158 Hector Street, Osborne Park",https://www.realestate.com.auhttps://www.realestate.com.au/property-villa-wa-osborne+park-149199100,2,1,1,0,2,wembley,2025-10-02,,529
"45/1 Sheen Street, Subiaco",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-subiaco-149169068,1,1,1,51,1,wembley,2025-10-02,1,525000
"5/1331 Hay Street, West Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-west+perth-148883568,2,1,1,76,2,wembley,2025-10-02,,539000
"12/124 Subiaco Road, Subiaco",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-subiaco-149102572,1,1,1,40,1,wembley,2025-10-02,1,425
"73/50-54 Cambridge Street, West Leederville",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-west+leederville-149195100,1,1,1,0,1,wembley,2025-10-02,1,450000
"9/37 Florence Street, West Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-west+perth-149179520,2,1,1,0,2,wembley,2025-10-02,1,500000
"111/45 Malcolm Street, West Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-west+perth-147658644,1,1,0,33,1,wembley,2025-10-02,1,0
"205/45 MALCOLM STREET, West Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-studio-wa-west+perth-146298148,0,1,0,0,1,wembley,2025-10-02,1,329000
"17/405 Oxford Street, Mount Hawthorn",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-mount+hawthorn-149224820,1,1,1,55,1,wembley,2025-10-03,,500
